Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,,1981_change,1982_change,1983_change,1984_change,1985_change,1986_change,1987_change,1988_change,1989_change,1990_change,1991_change,1992_change,1993_change,1994_change,1995_change,1996_change,1997_change,1998_change,1999_change,2000_change,2001_change,2002_change,2003_change,2004_change,2005_change,2006_change,2007_change,2008_change,2009_change,2010_change,2011_change,2012_change,2013_change,2014_change,2015_change,2016_change,2017_change,2018_change,2019_change,2020_change,2021_change,2022_change,2023_change,2024_change,2025_change,2026_change,2027_change,2028_change,2029_change
Lebanon,4.02,3.843,2.621,3.611,4.269,3.566,2.78,3.254,3.269,2.682,2.801,4.392,5.472,7.435,8.988,10.971,12.824,15.535,17.059,17.174,17.018,17.361,18.837,19.486,21.16,21.497,22.023,24.827,29.119,35.4,38.444,39.927,44.017,46.88,48.095,49.929,51.15,53.03,54.9,50.928,24.976,19.782,24.524,24.023,no data,no data,no data,no data,no data,no data,,-4.40,-31.80,37.77,18.22,-16.47,-22.04,17.05,0.46,-17.96,4.44,56.80,24.59,35.87,20.89,22.06,16.89,21.14,9.81,0.67,-0.91,2.02,8.50,3.45,8.59,1.59,2.45,12.73,17.29,21.57,8.60,3.86,10.24,6.50,2.59,3.81,2.45,3.68,3.53,-7.23,-50.96,-20.80,23.97,-2.04,,,,,,
Lesotho,0.428,0.435,0.362,0.401,0.36,0.288,0.331,0.434,0.496,0.519,0.635,0.743,0.863,0.865,0.915,1.032,0.977,1.027,0.949,0.937,0.922,0.774,0.856,1.256,1.598,1.73,1.72,1.759,1.652,1.937,2.356,2.571,2.465,2.345,2.477,2.202,2.206,2.424,2.472,2.323,2.092,2.427,2.267,2.211,2.297,2.424,2.541,2.663,2.784,2.919,,1.64,-16.78,10.77,-10.22,-20.00,14.93,31.12,14.29,4.64,22.35,17.01,16.15,0.23,5.78,12.79,-5.33,5.12,-7.59,-1.26,-1.60,-16.05,10.59,46.73,27.23,8.26,-0.58,2.27,-6.08,17.25,21.63,9.13,-4.12,-4.87,5.63,-11.10,0.18,9.88,1.98,-6.03,-9.94,16.01,-6.59,-2.47,3.89,5.53,4.83,4.80,4.54,4.85
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.863,0.904,0.943,0.714,0.897,0.944,1.109,1.344,1.676,1.765,1.966,2.34,2.675,3.044,3.09,3.092,3.256,3.321,3.264,3.08,3.037,3.509,3.974,4.39,4.756,5.051,5.351,5.702,6.14,6.512,,,,,,,,,,,,,,,,,,,,,,4.75,4.31,-24.28,25.63,5.24,17.48,21.19,24.70,5.31,11.39,19.02,14.32,13.79,1.51,0.06,5.30,2.00,-1.72,-5.64,-1.40,15.54,13.25,10.47,8.34,6.20,5.94,6.56,7.68,6.06
Libya,40.19,34.72,34.616,32.988,30.89,30.384,24.756,23.009,25.87,27.446,31.627,34.995,35.459,31.912,29.719,33.739,36.827,37.702,30.921,37.129,39.498,35.206,21.128,27.026,34.054,48.852,60.094,68.211,86.804,60.767,75.381,48.17,92.542,75.355,57.384,48.718,49.913,67.153,76.682,69.237,46.893,35.216,43.281,43.958,44.812,47.998,50.339,51.498,53.03,54.699,,-13.61,-0.30,-4.70,-6.36,-1.64,-18.52,-7.06,12.43,6.09,15.23,10.65,1.33,-10.00,-6.87,13.53,9.15,2.38,-17.99,20.08,6.38,-10.87,-39.99,27.92,26.00,43.45,23.01,13.51,27.26,-30.00,24.05,-36.10,92.12,-18.57,-23.85,-15.10,2.45,34.54,14.19,-9.71,-32.27,-24.90,22.90,1.56,1.94,7.11,4.88,2.30,2.97,3.15
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.691,8.376,10.114,11.236,10.969,11.509,12.238,14.261,18.776,22.58,26.115,30.214,39.773,47.931,37.484,37.188,43.597,42.888,46.579,48.619,41.431,43.058,47.706,53.777,54.831,56.873,66.865,71.134,77.844,82.789,87.981,92.895,97.187,101.677,106.433,,,,,,,,,,,,,,,,,25.18,20.75,11.09,-2.38,4.92,6.33,16.53,31.66,20.26,15.66,15.70,31.64,20.51,-21.80,-0.79,17.23,-1.63,8.61,4.38,-14.78,3.93,10.79,12.73,1.96,3.72,17.57,6.38,9.43,6.35,6.27,5.59,4.62,4.62,4.68
Luxembourg,6.434,5.549,4.557,4.473,4.385,4.544,6.611,8.211,9.301,9.903,12.628,13.683,15.328,15.714,17.487,20.571,20.464,18.428,19.263,21.089,21.24,21.388,23.633,29.66,35.049,37.693,42.912,51.593,58.838,54.408,56.26,61.685,59.814,65.204,68.823,60.078,62.2,65.689,71.033,69.898,73.64,85.641,81.706,85.78,91.21,96.993,101.969,106.211,110.695,115.499,,-13.76,-17.88,-1.84,-1.97,3.63,45.49,24.20,13.27,6.47,27.52,8.35,12.02,2.52,11.28,17.64,-0.52,-9.95,4.53,9.48,0.72,0.70,10.50,25.50,18.17,7.54,13.85,20.23,14.04,-7.53,3.40,9.64,-3.03,9.01,5.55,-12.71,3.53,5.61,8.14,-1.60,5.35,16.30,-4.59,4.99,6.33,6.34,5.13,4.16,4.22,4.34
Macao SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.86,7.372,8.247,10.643,12.16,14.874,18.44,21.027,21.588,28.242,36.844,43.19,51.536,54.903,45.048,45.071,50.384,55.191,55.082,25.344,30.969,24.464,47.061,53.447,59.274,63.466,66.973,70.515,74.229,,,,,,,,,,,,,,,,,,,,,,,7.46,11.87,29.05,14.25,22.32,23.97,14.03,2.67,30.82,30.46,17.22,19.32,6.53,-17.95,0.05,11.79,9.54,-0.20,-53.99,22.19,-21.00,92.37,13.57,10.90,7.07,5.53,5.29,5.27
Madagascar,5.202,4.759,4.785,4.686,3.906,3.803,4.348,3.213,3.189,3.176,3.931,3.255,3.715,4.063,3.522,3.838,4.932,4.263,4.402,4.278,4.629,5.438,5.352,6.372,5.065,5.859,6.396,8.525,10.725,9.617,9.983,11.552,11.579,12.424,12.523,11.323,11.849,13.176,13.76,14.105,13.051,14.555,15.135,15.79,17.212,18.104,19.622,21.328,23.586,25.555,,-8.52,0.55,-2.07,-16.65,-2.64,14.33,-26.10,-0.75,-0.41,23.77,-17.20,14.13,9.37,-13.32,8.97,28.50,-13.56,3.26,-2.82,8.20,17.48,-1.58,19.06,-20.51,15.68,9.17,33.29,25.81,-10.33,3.81,15.72,0.23,7.30,0.80,-9.58,4.65,11.20,4.43,2.51,-7.47,11.52,3.98,4.33,9.01,5.18,8.38,8.69,10.59,8.35
Malawi,3.022,3.022,2.881,2.986,2.949,2.762,2.883,2.834,3.258,3.715,4.222,5.38,4.394,5.056,2.93,3.412,5.569,6.504,4.275,4.336,4.257,4.178,4.922,4.521,4.895,5.148,5.63,6.24,7.492,8.723,9.796,11.241,8.421,7.648,8.526,9.014,7.733,8.943,9.882,11.031,11.847,12.475,12.531,12.674,10.844,10.784,11.056,11.611,12.255,12.953,,0.00,-4.67,3.64,-1.24,-6.34,4.38,-1.70,14.96,14.03,13.65,27.43,-18.33,15.07,-42.05,16.45,63.22,16.79,-34.27,1.43,-1.82,-1.86,17.81,-8.15,8.27,5.17,9.36,10.83,20.06,16.43,12.30,14.75,-25.09,-9.18,11.48,5.72,-14.21,15.65,10.50,11.63,7.40,5.30,0.45,1.14,-14.44,-0.55,2.52,5.02,5.55,5.70
Malaysia,26.757,27.321,29.278,32.745,37.087,34.09,30.303,34.529,37.845,41.678,47.245,53.519,64.427,72.857,81.156,96.606,109.846,109.116,78.639,86.203,102.149,101.054,109.833,120.025,135.869,150.345,170.41,202.732,241.946,211.847,258.64,302.184,318.909,327.869,342.868,301.355,301.256,319.109,358.783,365.178,337.456,373.785,407.606,399.705,439.748,488.25,522.253,553.081,587.088,621.325,,2.11,7.16,11.84,13.26,-8.08,-11.11,13.95,9.60,10.13,13.36,13.28,20.38,13.08,11.39,19.04,13.71,-0.66,-27.93,9.62,18.50,-1.07,8.69,9.28,13.20,10.65,13.35,18.97,19.34,-12.44,22.09,16.84,5.53,2.81,4.57,-12.11,-0.03,5.93,12.43,1.78,-7.59,10.77,9.05,-1.94,10.02,11.03,6.96,5.90,6.15,5.83
Maldives,0.063,0.073,0.087,0.094,0.113,0.134,0.158,0.149,0.178,0.201,0.231,0.262,0.306,0.346,0.382,0.466,0.527,0.652,0.693,0.756,0.801,0.767,0.828,1.052,1.227,1.163,1.575,1.868,2.272,2.345,2.588,2.629,2.885,3.286,3.69,4.118,4.398,4.809,5.398,5.716,3.706,5.242,6.161,6.573,6.984,7.641,8.178,8.72,9.298,9.909,,15.87,19.18,8.05,20.21,18.58,17.91,-5.70,19.46,12.92,14.93,13.42,16.79,13.07,10.40,21.99,13.09,23.72,6.29,9.09,5.95,-4.24,7.95,27.05,16.63,-5.22,35.43,18.60,21.63,3.21,10.36,1.58,9.74,13.90,12.29,11.60,6.80,9.35,12.25,5.89,-35.16,41.45,17.53,6.69,6.25,9.41,7.03,6.63,6.63,6.57
Mali,2.031,1.66,1.468,1.418,1.416,1.426,1.981,2.308,2.316,2.827,3.223,3.284,3.372,3.362,2.575,3.337,3.416,3.208,3.328,3.444,2.963,3.468,3.905,4.713,5.452,6.251,6.906,8.157,9.871,10.249,10.698,12.993,12.45,13.243,14.369,13.106,14.022,15.36,17.079,17.281,17.643,19.786,18.322,20.21,21.653,23.214,24.919,26.613,28.454,30.445,,-18.27,-11.57,-3.41,-0.14,0.71,38.92,16.51,0.35,22.06,14.01,1.89,2.68,-0.30,-23.41,29.59,2.37,-6.09,3.74,3.49,-13.97,17.04,12.60,20.69,15.68,14.66,10.48,18.11,21.01,3.83,4.38,21.45,-4.18,6.37,8.50,-8.79,6.99,9.54,11.19,1.18,2.09,12.15,-7.40,10.30,7.14,7.21,7.34,6.80,6.92,7.00
Malta,1.267,1.238,1.17,1.142,1.081,1.095,1.421,1.774,2.013,2.108,2.532,2.754,3.065,2.731,3.024,3.565,3.635,3.68,3.898,4.068,4.298,4.339,4.684,5.465,6.128,6.383,6.783,7.972,9.171,8.76,9.104,9.788,9.616,10.797,11.891,11.342,12.022,14.156,16.161,16.34,16.373,19.732,19.225,22.335,24.397,26.262,27.892,29.409,31.081,32.862,,-2.29,-5.49,-2.39,-5.34,1.30,29.77,24.84,13.47,4.72,20.11,8.77,11.29,-10.90,10.73,17.89,1.96,1.24,5.92,4.36,5.65,0.95,7.95,16.67,12.13,4.16,6.27,17.53,15.04,-4.48,3.93,7.51,-1.76,12.28,10.13,-4.62,6.00,17.75,14.16,1.11,0.20,20.52,-2.57,16.18,9.23,7.64,6.21,5.44,5.69,5.73
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.11,0.112,0.113,0.115,0.123,0.132,0.131,0.133,0.138,0.143,0.15,0.147,0.151,0.161,0.172,0.181,0.186,0.186,0.184,0.202,0.214,0.22,0.233,0.242,0.259,0.253,0.259,0.279,0.294,0.305,0.316,0.328,0.341,,,,,,,,,,,,,,,,,,,1.82,0.89,1.77,6.96,7.32,-0.76,1.53,3.76,3.62,4.90,-2.00,2.72,6.62,6.83,5.23,2.76,0.00,-1.08,9.78,5.94,2.80,5.91,3.86,7.02,-2.32,2.37,7.72,5.38,3.74,3.61,3.80,3.96
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.793,2.055,2.164,1.847,1.945,2.092,2.132,2.072,2.027,1.986,1.78,1.746,1.777,2.051,2.362,2.936,4.009,4.328,5.138,4.725,5.637,6.782,6.721,7.331,6.615,6.182,6.414,6.826,7.472,7.894,8.464,9.126,9.564,10.649,10.761,11.08,11.64,12.348,13.303,13.818,,,,,,,,,,,,14.61,5.30,-14.65,5.31,7.56,1.91,-2.81,-2.17,-2.02,-10.37,-1.91,1.78,15.42,15.16,24.30,36.55,7.96,18.72,-8.04,19.30,20.31,-0.90,9.08,-9.77,-6.55,3.75,6.42,9.46,5.65,7.22,7.82,4.80,11.34,1.05,2.96,5.05,6.08,7.73,3.87
Mauritius,1.242,1.179,1.131,1.198,1.108,1.122,1.515,1.919,2.225,2.286,2.743,3.017,3.398,3.502,3.887,4.439,4.59,4.31,4.354,4.597,4.935,4.882,5.123,6.155,6.962,6.867,7.123,8.26,10.125,9.252,10.138,11.673,11.826,12.293,13.074,12.007,12.594,13.714,14.736,14.436,11.408,11.484,12.928,14.557,15.89,16.515,17.788,19.073,20.439,21.869,,-5.07,-4.07,5.92,-7.51,1.26,35.03,26.67,15.95,2.74,19.99,9.99,12.63,3.06,10.99,14.20,3.40,-6.10,1.02,5.58,7.35,-1.07,4.94,20.14,13.11,-1.36,3.73,15.96,22.58,-8.62,9.58,15.14,1.31,3.95,6.35,-8.16,4.89,8.89,7.45,-2.04,-20.98,0.67,12.57,12.60,9.16,3.93,7.71,7.22,7.16,7.00
Mexico,242.153,311.012,225.706,184.01,217.001,230.272,159.434,174.84,213.893,260.663,307.613,368.772,427.661,530.226,553.618,380.182,432.158,523.45,557.485,631.24,742.061,796.055,810.666,765.55,819.459,917.572,1020.265,1102.356,1161.553,943.437,1105.424,1229.014,1255.11,1327.436,1364.508,1213.294,1112.233,1190.721,1256.3,1305.2,1120.832,1313.07,1463.324,1788.821,1848.125,1817.818,1905.278,1994.119,2085.533,2176.05,,28.44,-27.43,-18.47,17.93,6.12,-30.76,9.66,22.34,21.87,18.01,19.88,15.97,23.98,4.41,-31.33,13.67,21.12,6.50,13.23,17.56,7.28,1.84,-5.57,7.04,11.97,11.19,8.05,5.37,-18.78,17.17,11.18,2.12,5.76,2.79,-11.08,-8.33,7.06,5.51,3.89,-14.13,17.15,11.44,22.24,3.32,-1.64,4.81,4.66,4.58,4.34
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.22,0.217,0.204,0.217,0.217,0.23,0.236,0.238,0.241,0.236,0.246,0.249,0.252,0.258,0.275,0.291,0.307,0.323,0.313,0.314,0.31,0.325,0.359,0.392,0.394,0.372,0.39,0.43,0.46,0.484,0.507,0.526,0.541,0.556,0.571,,,,,,,,,,,,,,,,,-1.36,-5.99,6.37,0.00,5.99,2.61,0.85,1.26,-2.07,4.24,1.22,1.20,2.38,6.59,5.82,5.50,5.21,-3.10,0.32,-1.27,4.84,10.46,9.19,0.51,-5.58,4.84,10.26,6.98,5.22,4.75,3.75,2.85,2.77,2.70
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.864,1.11,1.158,1.441,1.694,1.928,1.697,1.172,1.315,1.481,1.662,1.981,2.598,2.988,3.408,4.401,6.055,5.438,6.977,8.417,8.708,9.496,9.51,7.726,8.072,9.515,11.252,11.737,11.53,13.694,14.55,16.576,18.062,19.649,21.531,23.726,26.15,28.911,,,,,,,,,,,,,,28.47,4.32,24.44,17.56,13.81,-11.98,-30.94,12.20,12.62,12.22,19.19,31.15,15.01,14.06,29.14,37.58,-10.19,28.30,20.64,3.46,9.05,0.15,-18.76,4.48,17.88,18.26,4.31,-1.76,18.77,6.25,13.92,8.96,8.79,9.58,10.19,10.22,10.56
Mongolia,2.728,2.854,2.963,3.071,2.837,3.294,3.636,4.086,4.104,4.275,2.678,2.821,1.566,0.771,0.926,1.452,1.348,1.181,1.125,1.057,1.137,1.268,1.397,1.595,1.992,2.523,3.414,4.235,5.623,4.584,7.185,10.41,12.278,12.582,12.227,11.62,11.154,11.481,13.207,14.206,13.313,15.286,17.146,20.315,23.669,27.242,29.12,31.569,34.024,36.4,,4.62,3.82,3.64,-7.62,16.11,10.38,12.38,0.44,4.17,-37.36,5.34,-44.49,-50.77,20.10,56.80,-7.16,-12.39,-4.74,-6.04,7.57,11.52,10.17,14.17,24.89,26.66,35.32,24.05,32.77,-18.48,56.74,44.89,17.94,2.48,-2.82,-4.96,-4.01,2.93,15.03,7.56,-6.29,14.82,12.17,18.48,16.51,15.10,6.89,8.41,7.78,6.98
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.966,1.15,1.269,1.681,2.073,2.261,2.724,3.686,4.564,4.171,4.146,4.544,4.09,4.466,4.595,4.055,4.376,4.855,5.509,5.543,4.777,5.865,6.243,7.406,8.11,8.849,9.431,9.895,10.398,10.939,,,,,,,,,,,,,,,,,,,,,,19.05,10.35,32.47,23.32,9.07,20.48,35.32,23.82,-8.61,-0.60,9.60,-9.99,9.19,2.89,-11.75,7.92,10.95,13.47,0.62,-13.82,22.78,6.45,18.63,9.51,9.11,6.58,4.92,5.08,5.20
Morocco,23.807,19.329,19.51,17.635,16.13,16.28,21.497,23.713,28.08,28.901,32.661,34.94,36.483,34.259,38.532,42.238,46.71,42.366,45.243,45.055,42.053,42.704,45.711,56.345,64.528,67.468,74.284,85.539,100.112,100.535,100.881,109.705,106.345,115.608,119.131,110.414,111.573,118.541,127.341,128.92,121.354,142.022,130.952,144.438,157.087,168.597,180.603,193.203,206.499,218.675,,-18.81,0.94,-9.61,-8.53,0.93,32.05,10.31,18.42,2.92,13.01,6.98,4.42,-6.10,12.47,9.62,10.59,-9.30,6.79,-0.42,-6.66,1.55,7.04,23.26,14.52,4.56,10.10,15.15,17.04,0.42,0.34,8.75,-3.06,8.71,3.05,-7.32,1.05,6.25,7.42,1.24,-5.87,17.03,-7.79,10.30,8.76,7.33,7.12,6.98,6.88,5.90
Mozambique,4.615,3.585,3.662,3.28,3.417,4.516,5.301,2.395,2.105,2.199,3.529,3.855,2.799,2.883,2.958,3.062,4.03,4.874,5.551,6.285,5.931,5.65,5.951,6.584,7.937,8.868,9.51,10.811,12.92,12.264,11.412,14.619,16.688,17.198,17.978,16.209,12.069,13.265,15.017,15.513,14.235,16.168,18.884,20.958,22.495,24.545,26.288,27.954,31.417,35.283,,-22.32,2.15,-10.43,4.18,32.16,17.38,-54.82,-12.11,4.47,60.48,9.24,-27.39,3.00,2.60,3.52,31.61,20.94,13.89,13.22,-5.63,-4.74,5.33,10.64,20.55,11.73,7.24,13.68,19.51,-5.08,-6.95,28.10,14.15,3.06,4.54,-9.84,-25.54,9.91,13.21,3.30,-8.24,13.58,16.80,10.98,7.33,9.11,7.10,6.34,12.39,12.31
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.838,6.044,7.261,6.693,6.496,8.336,10.095,11.382,12.752,16.76,23.907,28.971,35.748,50.292,55.131,59.176,63.153,62.655,60.09,61.267,66.699,68.802,77.801,68.054,61.766,64.505,64.284,65.009,68.633,73.949,79.788,86.21,,,,,,,,,,,,,,,,,,,,24.93,20.14,-7.82,-2.94,28.33,21.10,12.75,12.04,31.43,42.64,21.18,23.39,40.68,9.62,7.34,6.72,-0.79,-4.09,1.96,8.87,3.15,13.08,-12.53,-9.24,4.43,-0.34,1.13,5.57,7.75,7.90,8.05
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.268,2.568,2.841,3.296,3.156,3.537,3.948,3.954,4.11,3.832,3.824,3.941,3.577,3.396,4.974,6.673,7.324,7.711,8.73,8.496,8.915,11.281,12.423,13.016,12.168,12.434,11.45,10.719,12.883,13.676,12.539,10.583,12.399,12.562,12.345,13.185,14.364,15.224,15.892,16.603,17.364,,,,,,,,,,,13.23,10.63,16.02,-4.25,12.07,11.62,0.15,3.95,-6.76,-0.21,3.06,-9.24,-5.06,46.47,34.16,9.76,5.28,13.21,-2.68,4.93,26.54,10.12,4.77,-6.52,2.19,-7.91,-6.38,20.19,6.16,-8.31,-15.60,17.16,1.31,-1.73,6.80,8.94,5.99,4.39,4.47,4.58
Nauru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.031,0.03,0.029,0.023,0.037,0.044,0.048,0.066,0.101,0.094,0.099,0.085,0.097,0.109,0.131,0.125,0.125,0.176,0.157,0.154,0.16,0.179,0.188,0.197,0.204,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,-3.23,-3.33,-20.69,60.87,18.92,9.09,37.50,53.03,-6.93,5.32,-14.14,14.12,12.37,20.18,-4.58,0.00,40.80,-10.80,-1.91,3.90,11.87,5.03,4.79,3.55,4.90
Nepal,2.258,2.641,2.669,2.92,3.089,3.208,3.491,3.621,4.27,4.317,4.442,4.861,4.417,4.743,4.954,5.379,5.544,6.027,5.992,6.164,6.537,6.719,6.816,7.218,8.297,9.331,10.316,11.777,14.31,14.663,18.253,21.685,21.703,22.162,22.722,24.361,24.524,28.972,33.112,34.186,33.434,36.927,41.183,40.907,43.673,47.826,52.622,57.968,63.907,70.443,,16.96,1.06,9.40,5.79,3.85,8.82,3.72,17.92,1.10,2.90,9.43,-9.13,7.38,4.45,8.58,3.07,8.71,-0.58,2.87,6.05,2.78,1.44,5.90,14.95,12.46,10.56,14.16,21.51,2.47,24.48,18.80,0.08,2.11,2.53,7.21,0.67,18.14,14.29,3.24,-2.20,10.45,11.53,-0.67,6.76,9.51,10.03,10.16,10.25,10.23
Netherlands,194.031,162.629,157.56,153.396,142.779,144.859,201.883,247.277,264.596,260.9,321.859,331.565,366.52,356.434,383.091,453.377,451.508,418.023,439.215,448.223,417.834,432.539,475.194,582.29,660.925,688.514,737.633,853.6,957.797,878,853.161,912.98,846.225,883.964,901.789,775.822,796.944,847.934,930.155,929.006,931.814,1055.173,1047.364,1154.694,1218.401,1272.96,1325.691,1372.992,1421.317,1470.883,,-16.18,-3.12,-2.64,-6.92,1.46,39.37,22.49,7.00,-1.40,23.36,3.02,10.54,-2.75,7.48,18.35,-0.41,-7.42,5.07,2.05,-6.78,3.52,9.86,22.54,13.50,4.17,7.13,15.72,12.21,-8.33,-2.83,7.01,-7.31,4.46,2.02,-13.97,2.72,6.40,9.70,-0.12,0.30,13.24,-0.74,10.25,5.52,4.48,4.14,3.57,3.52,3.49
New Zealand,22.56,23.481,23.246,22.493,22.386,22.548,27.439,36.993,45.523,44.024,45.794,43.44,41.515,44.808,52.919,62.24,69.101,68.869,56.815,58.898,54.127,53.129,62.061,82.408,101.599,113.266,109.738,134.876,135.373,121.701,145.36,166.949,175.033,187.132,200.153,176.326,185.901,203.626,209.601,210.761,210.271,249.711,242.575,248.687,252.236,262.924,274.325,285.718,298.296,311.382,,4.08,-1.00,-3.24,-0.48,0.72,21.69,34.82,23.06,-3.29,4.02,-5.14,-4.43,7.93,18.10,17.61,11.02,-0.34,-17.50,3.67,-8.10,-1.84,16.81,32.79,23.29,11.48,-3.11,22.91,0.37,-10.10,19.44,14.85,4.84,6.91,6.96,-11.90,5.43,9.53,2.93,0.55,-0.23,18.76,-2.86,2.52,1.43,4.24,4.34,4.15,4.40,4.39
Nicaragua,1.832,2.156,2.497,2.9,3.966,3.854,5.8,3.409,1.499,2.082,0.519,3.678,3.894,3.726,3.861,4.14,4.308,4.39,4.635,4.856,5.109,5.335,5.224,5.322,5.793,6.321,6.764,7.423,8.497,8.297,8.759,9.774,10.532,10.983,11.88,12.757,13.286,13.786,13.025,12.713,12.682,14.145,15.671,17.843,19.412,20.956,22.557,24.28,26.135,28.132,,17.69,15.82,16.14,36.76,-2.82,50.49,-41.22,-56.03,38.89,-75.07,608.67,5.87,-4.31,3.62,7.23,4.06,1.90,5.58,4.77,5.21,4.42,-2.08,1.88,8.85,9.11,7.01,9.74,14.47,-2.35,5.57,11.59,7.76,4.28,8.17,7.38,4.15,3.76,-5.52,-2.40,-0.24,11.54,10.79,13.86,8.79,7.95,7.64,7.64,7.64,7.64
Niger,3.531,3.056,2.84,2.538,2.056,2.027,2.68,3.143,3.21,3.068,3.491,3.271,3.372,3.041,1.935,2.296,2.397,2.285,2.639,2.532,2.235,2.442,2.772,3.382,3.746,4.372,4.743,5.716,7.279,7.324,7.838,8.754,9.412,10.206,10.83,9.684,10.35,11.181,12.814,12.917,13.764,14.923,15.458,16.809,19.599,21.907,23.995,25.999,28.091,30.374,,-13.45,-7.07,-10.63,-18.99,-1.41,32.22,17.28,2.13,-4.42,13.79,-6.30,3.09,-9.82,-36.37,18.66,4.40,-4.67,15.49,-4.05,-11.73,9.26,13.51,22.01,10.76,16.71,8.49,20.51,27.34,0.62,7.02,11.69,7.52,8.44,6.11,-10.58,6.88,8.03,14.61,0.80,6.56,8.42,3.59,8.74,16.60,11.78,9.53,8.35,8.05,8.13
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,62.165,60.131,52.275,56.807,80.128,132.23,172.686,187.866,209.677,57.477,67.824,73.128,93.983,102.935,130.345,169.645,222.791,262.215,330.26,297.458,369.062,414.095,460.952,514.966,568.499,492.437,404.649,375.745,421.737,474.498,432.716,441.632,476.468,363.816,199.721,194.955,224.78,239.413,260.959,268.949,,,,,,,,,,,,-3.27,-13.06,8.67,41.05,65.02,30.60,8.79,11.61,-72.59,18.00,7.82,28.52,9.53,26.63,30.15,31.33,17.70,25.95,-9.93,24.07,12.20,11.32,11.72,10.40,-13.38,-17.83,-7.14,12.24,12.51,-8.81,2.06,7.89,-23.64,-45.10,-2.39,15.30,6.51,9.00,3.06
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.443,2.687,3.561,4.687,4.643,3.928,3.764,3.867,3.774,3.709,3.991,4.946,5.684,6.257,6.86,8.337,9.912,9.4,9.415,10.499,9.751,10.824,11.378,10.067,10.686,11.336,12.694,12.609,12.385,14.008,13.735,14.769,15.861,17.09,18.204,19.42,20.595,21.787,,,,,,,,,,,,,,9.99,32.53,31.62,-0.94,-15.40,-4.18,2.74,-2.40,-1.72,7.60,23.93,14.92,10.08,9.64,21.53,18.89,-5.17,0.16,11.51,-7.12,11.00,5.12,-11.52,6.15,6.08,11.98,-0.67,-1.78,13.10,-1.95,7.53,7.39,7.75,6.52,6.68,6.05,5.79
Norway,64.439,63.597,62.647,61.627,62.058,65.417,78.693,94.231,101.901,102.634,119.791,121.872,130.838,120.579,127.132,152.031,163.52,161.357,154.23,162.384,171.456,174.24,195.915,229.385,265.267,309.979,346.914,402.646,464.915,387.974,431.052,501.361,512.777,526.014,501.737,388.16,370.957,401.745,439.788,408.743,367.633,503.368,593.727,485.311,503.752,506.466,509.343,522.441,536.045,550.747,,-1.31,-1.49,-1.63,0.70,5.41,20.29,19.75,8.14,0.72,16.72,1.74,7.36,-7.84,5.43,19.59,7.56,-1.32,-4.42,5.29,5.59,1.62,12.44,17.08,15.64,16.86,11.92,16.07,15.46,-16.55,11.10,16.31,2.28,2.58,-4.62,-22.64,-4.43,8.30,9.47,-7.06,-10.06,36.92,17.95,-18.26,3.80,0.54,0.57,2.57,2.60,2.74
